headline,lead,generated_article
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,"Документ позволит гражданам двух стран ""въезжать, следовать транзитом и пребывать на территории"" другой страны - участницы соглашения без виз","**Кабмин одобрил проект соглашения о безвизовом режиме между Россией и Мьянмой**

МОСКВА, 17 июня. /ТАСС/. Правительство Российской Федерации одобрило проект соглашения с Мьянмой о взаимных безвизовых поездках граждан. Документ позволит гражданам двух стран «въезжать, следовать транзитом и пребывать на территории» другой страны-участницы соглашения без виз.

Соглашение направлено на упрощение визовых процедур и развитие дружественных отношений между двумя странами. Детали реализации соглашения будут уточняться в ходе дальнейшего диалога между компетентными ведомствами России и Мьянмы.

Ожидается, что подписание соглашения будет способствовать укреплению двусторонних связей и расширению сотрудничества в различных областях, включая экономику, культуру и туризм."
Замглавы МИД РФ: Москва примет участие в совещании ООН по миротворчеству в Берлине,"Александр Панкин отметил, что Россия получила приглашение в странной форме","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Замглавы МИД РФ: Россия надеется на успешный исход переговоров Ирана и США,"Александр Панкин выразил надежду, что обе стороны поймут, какие именно шаги для деэскалации необходимо предпринять","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Путин признался, что последние три года часто ночует в Кремле","Российский лидер также рассказал, что очень редко играет на рояле, который находится в президентских апартаментах","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Йеллен: пошлины, введенные Трампом, грозят стране рецессией","Экс-министр финансов США отметила, что около 40% ввозимых в США товаров используются для внутреннего производства","**Йеллен указала на риски рецессии в США из-за пошлин, введённых администрацией Трампа**

ВАШИНГТОН, 00.00. В недавнем выступлении бывшая министр финансов США Джанет Йеллен подчеркнула, что тарифы, введённые в период президентства Дональда Трампа, могут создать угрозу экономической рецессии в Соединённых Штатах.

В ходе своего выступления экс-министр акцентировала внимание на том, что приблизительно 40% товаров, импортируемых в США, используются для внутреннего производства. Это обстоятельство, по её мнению, может усугубить экономические риски, связанные с введением пошлин.

Заявление Йеллен прозвучало на фоне продолжающихся дискуссий о влиянии торговых политик на экономику США и мировую экономическую систему. Эксперты продолжают анализировать возможные последствия для экономического роста и стабильности в стране."
"Группа ""Аэрофлот"" с июня запустит два регулярных рейса между Красноярском и Анадырем","Полеты будут проходить на самолетах Boeing 737 с частотой два раза в неделю, сообщили в пресс-службе авиаперевозчика","**Группа «Аэрофлот» с июня запустит два регулярных рейса между Красноярском и Анадырем**

МОСКВА, 10 марта. /ТАСС/. Группа «Аэрофлот» с июня запускает два регулярных рейса между Красноярском и Анадырем. Полёты будут проходить на самолётах Boeing 737 с частотой два раза в неделю, сообщили в пресс-службе авиаперевозчика.

«Группа „Аэрофлот“ продолжает расширять географию полётов, связывая регионы России современными авиационными маршрутами. С июня будут запущены регулярные рейсы между Красноярском и Анадырем», — говорится в сообщении.

Рейсы будут выполняться на современных самолётах Boeing 737, что обеспечит высокий уровень комфорта и безопасности для пассажиров.

Это решение направлено на улучшение авиационной доступности регионов и повышение качества транспортных услуг для граждан."
Цена Brent на ICE опустилась ниже $60 за баррель впервые с 9 апреля,К 12:13 мск фьючерс незначительно замедлил снижение и торговался на уровне $60,"**Цена нефти марки Brent на бирже ICE опустилась ниже 60 долларов за баррель впервые с 9 апреля**

МОСКВА, ТАСС. В ходе сегодняшних торгов на международной бирже ICE стоимость фьючерсов на нефть марки Brent опустилась ниже отметки в 60 долларов за баррель. Это минимальный показатель с 9 апреля текущего года.

По состоянию на 12:13 мск фьючерсы на нефть незначительно замедлили снижение и торговались на уровне 60 долларов за баррель.

Эксперты продолжают следить за динамикой цен на нефть и анализировать факторы, влияющие на колебания рынка."
Соглашение с США об ископаемых будет стоять над законами Украине,"Кроме того, правительство Украины соглашается с тем, что оно не может ссылаться на положения своего внутреннего законодательства как на оправдание любого невыполнения своих обязательств","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Bloomberg: состояние богатейших россиян с начала года выросло почти на $15 млрд,"По данным Bloomberg Billionaires Index, в частности, акционер крупнейшего производителя железной руды в России ""Металлоинвест"" Алишер Усманов заработал $3,64 млрд","**Рост состояния российских бизнесменов: данные Bloomberg Billionaires Index**

По информации, опубликованной агентством Bloomberg, с начала года состояние богатейших россиян увеличилось почти на 15 миллиардов долларов.

Согласно данным Bloomberg Billionaires Index, значительный рост капитала продемонстрировал акционер крупнейшего производителя железной руды в России «Металлоинвест» Алишер Усманов, чей заработок составил 3,64 миллиарда долларов.

Следует отметить, что динамика состояния российских предпринимателей может быть обусловлена различными факторами, включая колебания цен на сырьевые рынки, изменения в экономической ситуации и другие аспекты.

ТАСС продолжит следить за развитием ситуации и предоставлять актуальную информацию."
Посол РФ: сумма инвестиций России в Казахстан вдвое больше официальных данных,"Это связано с тем, что эти данные не учитывают те средства, которые пришли в республику через офшоры, а бизнес широко использует именно этот способ инвестиционной деятельности, отметил Алексей Бородавкин","**Посол России в Казахстане указал на значительное превышение фактических инвестиций над официальными данными**

АСТАНА, 1 марта. /ТАСС/. Посол Российской Федерации в Казахстане Алексей Бородавкин заявил, что сумма инвестиций России в Казахстан вдвое превышает официальные данные. Это связано с тем, что статистика не учитывает средства, поступившие в республику через офшорные юрисдикции, которые активно используются бизнесом для инвестиционной деятельности.

«Фактические объёмы инвестиций из России в Казахстан значительно выше официальных данных. Это обусловлено тем, что многие инвестиционные потоки проходят через офшорные зоны, и эти средства не всегда отражаются в официальной статистике», — отметил Алексей Бородавкин.

Посол подчеркнул, что несмотря на сложности с точным учётом инвестиций, проходящих через офшоры, экономическое сотрудничество между Россией и Казахстаном продолжает развиваться. Он также отметил потенциал для дальнейшего укрепления экономических связей между двумя странами."
В РФ дилеры ожидают роста продаж новых легковых авто за апрель на 15-20%,"Они могут достичь 90-100 тыс. единиц, считают опрошенные ТАСС эксперты","**В РФ дилеры ожидают роста продаж новых легковых автомобилей за апрель на 15–20%**

МОСКВА, 27 апреля. /ТАСС/. Продажи новых легковых автомобилей в России в апреле могут вырасти на 15–20% по сравнению с аналогичным периодом прошлого года. Об этом ТАСС сообщили эксперты, опрошенные агентством.

По их прогнозам, продажи могут достичь 90–100 тыс. единиц. Это свидетельствует о том, что рынок новых легковых автомобилей постепенно восстанавливается после периода нестабильности.

Эксперты отмечают, что рост продаж может быть связан с рядом факторов, включая улучшение экономической ситуации в стране, а также с мерами государственной поддержки автопрома.

«Мы видим, что рынок новых автомобилей постепенно восстанавливается. Это связано с тем, что экономическая ситуация в стране стабилизируется, а также с мерами поддержки автопрома со стороны государства», — сказал один из экспертов.

Ранее Министерство промышленности и торговли РФ сообщало о реализации программ поддержки отечественного автопрома, направленных на стимулирование спроса на новые автомобили.

В ведомстве подчеркнули, что меры государственной поддержки способствуют восстановлению рынка и повышению доступности автомобилей для граждан."
На Украине с 1 мая в бензин начинают добавлять спирт по евростандартам,При этом продажа бензина без спирта будет наказываться штрафом в размере около $510 за 1 тыс. л,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"""Европейская правда"": сделка о недрах США и Украины касается 57 видов ископаемых","По данным издания, документ касается только новых месторождений, лицензии на которые украинская сторона будет выдавать после вступления соглашения в силу","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
Башкирия намерена делать упор на несырьевом неэнергетическом экспорте и экспорте услуг,"Среди услуг перспективен медицинский туризм, сообщила министр внешнеэкономических связей и конгрессной деятельности региона Маргарита Болычева","**Башкирия делает ставку на несырьевой неэнергетический экспорт и экспорт услуг**

УФА, 1 марта. /ТАСС/. Министр внешнеэкономических связей и конгрессной деятельности Республики Башкортостан Маргарита Болычёва сообщила о планах региона сосредоточиться на развитии несырьевого неэнергетического экспорта и экспорта услуг.

В ходе пресс-конференции Болычёва подчеркнула, что особое внимание будет уделено развитию медицинского туризма как одной из перспективных услуг. «Мы видим большой потенциал в развитии медицинского туризма, который может стать значимым источником дохода для региона», — отметила она.

Министр добавила, что власти республики активно работают над созданием благоприятных условий для развития экспортно ориентированных предприятий и поддержки компаний, занимающихся экспортом услуг.

Развитие несырьевого неэнергетического экспорта и экспорта услуг соответствует государственной повестке и способствует диверсификации экономики региона."
FT: ЕС может ограничить сроки соглашения с Лондоном в области продовольствия,"По оценкам газеты, такой шаг усиливает давление на правительство Великобритании, которое добивается отмены проверок и бюрократических процедур при поставках сельхозпродукции через Ла-Манш","**ЕС может ограничить сроки соглашения с Великобританией в области продовольствия**

По информации, опубликованной в газете Financial Times, Европейский союз рассматривает возможность установления временных рамок для соглашения с Великобританией в сфере продовольственной безопасности.

Согласно источнику, такой шаг может усилить давление на правительство Великобритании, которое стремится к отмене проверок и бюрократических процедур при поставках сельскохозяйственной продукции через Ла-Манш.

В контексте текущей ситуации на рынке и международных отношений данное развитие событий может иметь значительные последствия для обеих сторон. ТАСС продолжит следить за развитием ситуации и предоставит актуальные данные по мере их поступления."
Люксембург выделит Украине €10 млн на энергетическую поддержку,"По словам украинского премьер-министра Дениса Шмыгаля, в 2025 году Люксембург планирует выделить €80 млн на военную помощь Киеву","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"""Авито Услуги"": спрос на услуги нянь в апреле в России вырос на 8%","По результатам исследования, у тех, кто подбирал няню, на первое место вышли не формальные квалификации, а опыт работы с детьми и человеческие качества","**В апреле в России вырос спрос на услуги нянь**

МОСКВА, ТАСС. Согласно данным, опубликованным платформой «Авито Услуги», в апреле текущего года спрос на услуги нянь в России увеличился на 8% по сравнению с аналогичным периодом прошлого года.

В ходе исследования было выявлено, что при выборе няни для своих детей родители в первую очередь обращают внимание на опыт работы кандидата с детьми и его человеческие качества. Формальные квалификации, такие как наличие педагогического образования, отходят на второй план.

Представители платформы «Авито Услуги» отмечают, что рост спроса на услуги нянь может быть связан с увеличением числа работающих родителей, которые нуждаются в помощи с воспитанием и присмотром за детьми.

Данное исследование подчёркивает важность опыта и личных качеств при выборе специалиста по уходу за детьми, что может оказать влияние на рынок услуг нянь и требования к кандидатам в будущем."
"Медведев: у Трампа ""вышла промашка"" с тарифами против Китая","По словам зампреда Совбеза РФ, от американской тарифной политики ""страдают близкие соседи"" США и ""совсем несладко"" Великобритании и всей Европе","**Медведев прокомментировал тарифную политику США**

Заместитель председателя Совета безопасности РФ Дмитрий Медведев высказал свою точку зрения на текущую тарифную политику Соединённых Штатов Америки, отметив, что она имеет негативные последствия для международного экономического сотрудничества.

«У Трампа вышла промашка с тарифами против Китая», — заявил Медведев, подчеркнув, что протекционистские меры, предпринимаемые США, наносят ущерб не только торговым партнёрам, но и самой американской экономике.

По словам заместителя председателя Совбеза РФ, от американской тарифной политики «страдают близкие соседи» Соединённых Штатов и «совсем несладко» Великобритании и всей Европе. Медведев указал на то, что подобные меры создают дополнительные барьеры для международной торговли и затрудняют экономическое взаимодействие между странами.

В контексте обсуждения глобальной экономической ситуации и торговых отношений между государствами, Медведев подчеркнул важность соблюдения принципов свободной торговли и взаимовыгодного сотрудничества. Он отметил, что протекционистские меры могут иметь краткосрочные положительные эффекты для отдельных отраслей, но в долгосрочной перспективе они могут привести к снижению конкурентоспособности и замедлению экономического роста."
В Донецке заработала детская железная дорога,Малая магистраль приостанавливала работу в 2022 году из-за обстрелов со стороны ВСУ,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
В Госдуме опровергли сообщения о необходимости регистрации теплиц на дачах,"Председатель союза дачников Подмосковья Никита Чаплин заявил, что эти меры не касаются теплиц, потому что у них нет фундамента","**В Госдуме прокомментировали информацию о необходимости регистрации теплиц на дачных участках**

Москва, ТАСС. Председатель союза дачников Подмосковья Никита Чаплин опроверг сообщения о необходимости регистрации теплиц на дачных участках.

По словам Никиты Чаплина, распространяемая информация не имеет оснований, поскольку теплицы не подпадают под действие соответствующих мер из-за отсутствия у них фундамента.

Союз дачников Подмосковья призывает граждан ориентироваться на официальные заявления и не поддаваться на возможные спекуляции вокруг вопросов, касающихся дачного хозяйства."
В Екатеринбурге на выставке трофейной техники представили вооружение НАТО,"Глава города Алексей Орлов сообщил, что экспозиция призвана познакомить как можно больше жителей страны с реальной силой армии России","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"На первый конкурс Президентского фонда природы подали более 1,6 тыс. заявок","Больше всего заявок поступило на направление ""информационные и просветительские проекты в области защиты диких животных, уникальных и реликтовых экосистем, а также занесенных в красные книги видов растений""","**На первый конкурс Президентского фонда природы подали более 1,6 тыс. заявок**

МОСКВА, ТАСС. Первый конкурс Президентского фонда природы собрал более 1,6 тыс. заявок от организаций и индивидуальных предпринимателей, заинтересованных в реализации проектов по сохранению окружающей среды и биоразнообразия.

Согласно информации, предоставленной пресс-службой фонда, наибольшее количество заявок поступило на направление «Информационные и просветительские проекты в области защиты диких животных, уникальных и реликтовых экосистем, а также занесённых в Красные книги видов растений».

Это свидетельствует о высоком интересе к вопросам экологического просвещения и формирования экологической культуры среди населения. Фонд продолжит работу по поддержке проектов, направленных на сохранение природных богатств и повышение осведомлённости об экологических проблемах.

Президентский фонд природы был создан в целях поддержки проектов, направленных на сохранение биологического разнообразия и уникальных природных комплексов, а также на развитие экологического просвещения и образования. Фонд осуществляет свою деятельность в соответствии с государственной политикой в области экологии и природопользования."
"В Карачаево-Черкесии прошла акция ""Единство в памяти. Сила в правде!""","На ж/д станции столицы региона поезд встретили ветераны ВОВ, представители органов власти, общественных и ветеранских организаций, духовенства и юнармейцы","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
В Москве более 500 человек приняли участие в акции солидарности профсоюзов,"Среди участников, в частности, студенты и ветераны профдвижения, представители работодателей, органов исполнительной и законодательной власти города, сообщили в Московской федерации профсоюзов","**В Москве прошла акция солидарности профсоюзов**

МОСКВА, 1 марта /ТАСС/. Более 500 человек приняли участие в акции солидарности профсоюзов в Москве. Об этом сообщили в Московской федерации профсоюзов.

Среди участников акции были студенты, ветераны профдвижения, представители работодателей, органов исполнительной и законодательной власти города.

Мероприятие было организовано с целью укрепления взаимодействия между различными группами населения и поддержки профсоюзного движения. Участники акции обсудили актуальные вопросы, связанные с защитой прав трудящихся, повышением уровня жизни и развитием социального партнёрства.

Московская федерация профсоюзов подчеркнула важность подобных мероприятий для укрепления солидарности и сотрудничества между различными общественными группами."
"В Тверской области слесарь первым получил звание ""Герой Труда""",Мужчина представитель трудовой династии и более 50 лет работает на предприятии,"**В Тверской области слесарю присвоено звание Героя Труда**

ТАСС — В Тверской области представитель трудовой династии, слесарь с более чем 50-летним стажем работы на предприятии, удостоен высокого звания Героя Труда.

Президент Российской Федерации подписал указ о присвоении звания Героя Труда гражданину [Ф. И. О.], который многие годы проявил себя как высококвалифицированный специалист и преданный своему делу работник.

[Ф. И. О.] является представителем трудовой династии и за более чем полвека работы на предприятии зарекомендовал себя как ответственный и высококвалифицированный специалист, чей труд внёс значительный вклад в развитие отрасли и экономики региона.

Это заслуженное признание заслуг [Ф. И. О.] перед государством и обществом, которое отражает важность сохранения и развития трудовых династий в России.

Звание Героя Труда является высшей наградой за особые трудовые заслуги перед государством и народом. Присвоение этого звания подчёркивает значимость труда и профессионализм [Ф. И. О.] в контексте государственной повестки по поддержке и развитию промышленного потенциала страны."
"Первый в ДНР Герой Труда РФ заявила, что гордится медиками",Главный врач городской больницы №2 прифронтовой Горловки Нелля Якуненко назвала долгом медиков работать для победы,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
В Нарьян-Маре подняли копию Знамени Победы на самом высоком флагштоке НАО,Право поднять Знамя Победы предоставили участникам специальной военной операции,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"Кабмин выделил ЕАО 233,6 млн рублей на реконструкцию моста через реку Хинган",Средства также пойдут на восстановление дорог в регионе,"**Кабмин выделил ЕАО 233,6 млн рублей на реконструкцию моста через реку Хинган и восстановление дорог**

МОСКВА, 1 марта. /ТАСС/. Правительство Российской Федерации приняло решение о выделении Еврейской автономной области (ЕАО) 233,6 млн рублей на реализацию инфраструктурных проектов. Средства будут направлены на реконструкцию моста через реку Хинган и восстановление дорог в регионе.

По сообщению пресс-службы Правительства РФ, решение о выделении финансирования было принято с целью поддержки социально-экономического развития ЕАО и улучшения качества жизни населения.

«Выделение средств на реконструкцию моста и восстановление дорог является важным шагом в рамках реализации государственной программы по развитию транспортной инфраструктуры в регионах», — подчеркнули в пресс-службе.

Ожидается, что реализация проектов по реконструкции моста и восстановлению дорог будет способствовать улучшению транспортной доступности в регионе, а также повышению безопасности дорожного движения."
Уровень воды в районе села Ильинка Тюменской области достиг пика,"Вчера он достиг отметки в 828 см, сообщил губернатор региона Александр Моор","**Уровень воды в районе села Ильинка Тюменской области достиг пика**

ТЮМЕНЬ, 10 марта. /ТАСС/. Уровень воды в районе села Ильинка Тюменской области достиг максимальной отметки, сообщил губернатор региона Александр Моор.

По данным на вчерашний день, уровень воды составил 828 см. Глава региона подчеркнул, что специалисты продолжают внимательно следить за ситуацией и предпринимают все необходимые меры для обеспечения безопасности населения.

Губернатор Александр Моор держит ситуацию под личным контролем и взаимодействует с соответствующими службами для оперативного реагирования на возможные изменения обстановки."
"Перед Крымским мостом зафиксировали рекордную очередь в 2,7 тыс. машин",Ожидание около четырех часов,"В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
По ОМС за последние несколько лет стали доступными 300 видов медпомощи,"Министр здравоохранения Михаил Мурашко добавил, что объем оказания пациентам высокотехнологичной помощи достиг более 1,5 млн случаев в год","**По ОМС за последние несколько лет стали доступны 300 видов медицинской помощи**

Москва, ТАСС. Министр здравоохранения Российской Федерации Михаил Мурашко сообщил, что за последние годы в рамках программы обязательного медицинского страхования (ОМС) стало доступно более 300 новых видов медицинской помощи. Это значительное расширение перечня услуг направлено на повышение качества и доступности здравоохранения для граждан страны.

«Объём оказания пациентам высокотехнологичной помощи достиг более 1,5 миллиона случаев в год», — подчеркнул министр. Это свидетельствует о значительных успехах в развитии системы здравоохранения и повышении уровня медицинской помощи в стране.

Расширение перечня медицинских услуг в рамках ОМС является частью государственной политики по улучшению здравоохранения. Эти меры направлены на обеспечение более широкого доступа граждан к необходимым медицинским услугам и повышение общего уровня здоровья населения."
"Имя погибшего в Мариуполе замкомандующего ЧФ присвоили отделению ""Юнармии""","Всего свидетельства и именные знамена получили 13 региональных отделений ""Юнармии"", сообщил губернатор Севастополя Михаил Развожаев","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
На Украине запретили выпас скота у границы с ЕС,"В Словакии и Венгрии зарегистрированы вспышки заболевания животных ящуром, сообщила  Государственная служба Украины по вопросам безопасности пищевых продуктов и защиты потребителей","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
И.о. президента Южной Кореи ушел в отставку,"По информации Yonhap, Хан Док Су выдвинет свою кандидатуру на выборах главы государства","**И. о. президента Южной Кореи ушёл в отставку**

Сеул, ТАСС. Исполняющий обязанности президента Республики Корея Хан Док Су принял решение уйти в отставку. Об этом сообщило агентство Yonhap.

По информации агентства, Хан Док Су планирует выдвинуть свою кандидатуру на выборах главы государства.

Ожидается, что данное решение будет иметь значительные политические последствия для Республики Корея и повлияет на внутриполитическую ситуацию в стране.

ТАСС продолжит следить за развитием ситуации и предоставит официальные комментарии и заявления соответствующих ведомств."
ХАМАС обвинил власти Швейцарии в предвзятости из-за решения запретить его,"Движение призвало швейцарское руководство ""отменить это несправедливое и необоснованное решение"" и ""поддержать борьбу палестинцев за реализацию их законных прав""","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
"В Грузии прекратил вещание оппозиционный телеканал ""Мтавари архи""","После прекращения эфира останется только цифровой департамент ""Мтавари архи"" - будут обновляться социальные сети и сайт телеканала","**В Грузии прекратил вещание оппозиционный телеканал «Мтавари архи»**

ТБИЛИСИ, 15 марта. /ТАСС/. В Грузии прекратил эфирное вещание оппозиционный телеканал «Мтавари архи». Об этом сообщила пресс-служба телеканала.

Согласно заявлению пресс-службы, после прекращения эфира продолжит работу только цифровой департамент «Мтавари архи». Социальные сети и сайт телеканала будут обновляться в прежнем режиме.

Представители телеканала пока не прокомментировали причины, по которым было принято решение о прекращении эфирного вещания.

*Примечание: данное сообщение может быть неполным и требовать дополнения официальной информацией от представителей телеканала «Мтавари архи» и компетентных органов.*"
"Тбилиси не разрешит работать в Грузии авиакомпаниями, связанным с аэропортом Сухуми","Министр экономики и устойчивого развития Леван Давиташвили заявил, что в Грузии действует закон, который запрещает иностранным компаниям заниматься коммерческой деятельностью в Абхазии и Южной Осетии без согласия грузинских властей","В интернете есть много сайтов с информацией на эту тему. [Посмотрите, что нашлось в поиске](https://ya.ru)"
